Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Morris K. Udall and Stewart L. Udall Foundation                 ,Mandatory,Other Spending,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,2,2,2,2,2,2,2,2,2,2,2
Morris K. Udall Scholarship Fund,Mandatory,Offsetting receipts,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
"Salaries and expenses, Library of Congress",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,460,477,493,506,522,539,556,574,592,611,630
"Books for the Blind and Physically Handicapped, Salaries and Exp",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,54,54,55,56,55,57,58,59,61,62,64
Gift and trust fund accounts,Mandatory,Other Spending,Legislative Branch                                              ,Library of Congress,10,10,10,10,10,10,10,10,10,10,10
Corporation for Public Broadcasting,Discretionary,Nondefense,Corporation for Public Broadcasting                             ,Corporation for Public Broadcasting                             ,465,465,466,475,485,495,506,516,527,537,549
Salaries and expenses,Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,744,756,773,799,824,851,878,905,933,962,993
Facilities capital,Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,193,268,327,334,341,343,345,353,360,368,376
"Salaries and expenses, National Gallery of Art",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,138,146,151,156,161,166,172,177,183,188,194
"Repair, restoration, and renovation of buildings, National Galle",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,20,25,25,26,25,26,27,27,28,28,29
"Operations and maintenance, JFK Center for the Performing Arts",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,24,25,25,26,27,27,28,29,29,30,31
"Capital Repair and Restoration, JFK Center for the Performing Ar",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,17,17,18,18,18,18,19,19,20,20,20
"Salaries and expenses, Woodrow Wilson International Center for S",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,12,12,13,13,14,14,15,15,16,16,17
"Science, space, and technology education trust fund",Mandatory,Other Spending,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,1,1,1,1,1,1,1,1,1,1,1
Program administration,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,410,441,457,472,487,503,519,535,552,569,586
Institute of education sciences,Discretionary,Nondefense,Department of Education                                         ,Institute of Education Sciences,597,584,617,690,643,656,670,684,698,712,727
National Capital Arts and Cultural Affairs                      ,Discretionary,Nondefense,Commission of Fine Arts                                         ,Commission of Fine Arts                                         ,3,3,3,3,3,3,3,3,4,4,4
Grants and Administration                                       ,Discretionary,Nondefense,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,150,152,156,160,164,168,172,176,180,184,188
"Gifts and Donations, National Endowment for the Arts            ",Mandatory,Other Spending,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,1,1,1,1,1,1,1,1,1,1,1
Grants and Administration                                       ,Discretionary,Nondefense,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,152,154,157,161,165,169,173,177,181,185,189
"Gifts and Donations, National Endowment for the Humanities      ",Mandatory,Other Spending,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,1,1,1,1,1,1,1,1,1,1,1
Holocaust Memorial Museum                                       ,Discretionary,Nondefense,United States Holocaust Memorial Museum                         ,United States Holocaust Memorial Museum                         ,58,60,61,63,65,66,68,69,71,73,75
Office of Museum and Library Services: Grants and Administration,Discretionary,Nondefense,Institute of Museum and Library Services                        ,Institute of Museum and Library Services                        ,230,236,240,247,256,258,264,269,275,280,286
Program administration,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,105,109,115,120,124,128,132,136,141,145,150
Training and employment services,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,"3,161","3,306","3,516","3,609","3,649","3,694","3,772","3,850","3,928","4,008","4,091"
Training and employment services,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,2,0,0,0,0,0,0,0,0,0,0
Community service employment for older Americans,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,404,410,412,415,425,434,442,451,460,470,479
State unemployment insurance and employment service operations,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,86,84,86,87,88,90,92,94,96,98,100
Job Corps                                                       ,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,"1,605","1,665","1,712","1,775","1,813","1,844","1,876","1,917","1,959","2,001","2,046"
TAA Community College and Career Training Grant Fund            ,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,20,0,0,0,0,0,0,0,0,0,0
Federal unemployment benefits and allowances,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,251,265,312,359,364,264,254,254,254,254,254
High Tech Administration,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,19,19,18,18,18,18,18,18,18,18,18
High Tech Job Training Demonstration Projects,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,166,165,165,165,165,167,167,167,167,167,167
Unemployment Trust Fund                                         ,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,"1,091","1,107","1,129","1,152","1,175","1,200","1,225","1,251","1,276","1,302","1,329"
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,84,85,88,91,95,98,101,105,108,112,116
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Wage and Hour Division                                          ,227,232,241,250,258,267,276,284,293,303,313
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Federal Contract Compliance Programs                  ,103,106,107,111,115,119,123,127,131,135,140
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Labor Management Standards                            ,42,43,44,45,47,49,50,52,53,55,57
Information Technology Modernization                            ,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,21,22,22,22,23,23,24,25,25,26,26
Salaries and Expenses                                           ,Discretionary,Nondefense,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,116,118,123,127,132,137,141,146,151,156,161
Salaries and expenses,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,348,350,353,359,370,381,392,404,416,428,442
Office of Disability Employment Policy,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,36,37,38,40,40,41,42,43,44,45,46
Salaries and expenses,Discretionary,Nondefense,Department of Labor                                             ,Bureau of Labor Statistics,552,564,580,596,613,631,650,668,686,706,727
Working capital fund,Mandatory,Other Spending,Department of Labor                                             ,Departmental Management,3,3,3,3,3,3,3,3,3,3,3
H-1 B and L Fraud Prevention and Detection,Mandatory,Other Spending,Department of Labor                                             ,Wage and Hour Division                                          ,44,47,48,49,49,48,48,48,48,48,48
Salaries and expenses,Discretionary,Nondefense,Federal Mediation and Conciliation Service                      ,Federal Mediation and Conciliation Service                      ,47,49,49,51,53,55,57,59,61,63,65
Salaries and Expenses                                           ,Discretionary,Nondefense,Committee for Purchase from People Who Are Blind or Severely Dis,Committee for Purchase from People Who Are Blind or Severely Dis,8,8,9,9,9,10,10,10,11,11,11
Salaries and Expenses                                           ,Discretionary,Nondefense,National Labor Relations Board                                  ,National Labor Relations Board                                  ,274,285,293,304,314,325,336,347,358,371,383
Salaries and Expenses                                           ,Discretionary,Nondefense,National Mediation Board                                        ,National Mediation Board                                        ,13,13,14,15,15,16,16,17,17,18,18
Aging and Disability Services Programs                          ,Discretionary,Nondefense,Department of Health and Human Services                         ,Administration for Community Living                             ,"2,082","2,118","2,157","2,201","2,247","2,295","2,344","2,392","2,441","2,493","2,545"
Aging and Disability Services Programs                          ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Community Living                             ,25,25,26,28,29,30,32,37,42,50,55
Promoting Safe and Stable Families                              ,Discretionary,Nondefense,Department of Health and Human Services                         ,Administration for Children and Families,74,93,100,102,104,107,109,111,113,116,118
Promoting Safe and Stable Families                              ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,441,455,409,352,325,319,318,319,319,319,319
Social services block grant,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,"1,642","1,765","1,735","1,712","1,705","1,705","1,710","1,720","1,725","1,700","1,700"
Children and families services programs,Discretionary,Nondefense,Department of Health and Human Services                         ,Administration for Children and Families,"11,813","12,351","12,632","12,822","12,956","13,231","13,512","13,794","14,075","14,369","14,670"
Rehabilitation Services                                         ,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,133,134,136,138,141,144,147,151,154,157,160
Rehabilitation Services                                         ,Mandatory,Other Spending,Department of Education                                         ,Office of Special Education and Rehabilitative Services,"3,149","3,408","3,579","3,653","3,748","3,843","3,937","4,032","4,127","4,223","4,319"
Salaries and Expenses                                           ,Discretionary,Nondefense,National Council on Disability                                  ,National Council on Disability                                  ,3,3,3,3,3,3,4,4,4,4,4
Office of Inspector General                                     ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,6,6,6,7,7,7,7,8,8,8,8
Salaries and Expenses                                           ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,83,85,88,91,94,97,100,104,107,111,114
Payment to the National Service Trust Fund                      ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,207,211,215,220,224,229,234,239,243,249,254
Operating Expenses                                              ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,742,752,765,771,801,833,851,869,887,905,925
Gifts and Contributions                                         ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,188,187,187,187,188,190,192,196,200,204,209
Gifts and Contributions                                         ,Mandatory,Other Spending,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,3,4,5,5,6,6,7,7,6,5,5
"Payment from the general fund, National Service trust fund",Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,-207,-211,-215,-220,-224,-229,-234,-239,-243,-249,-254
Medicaid and Chip Payment and Access Commission                 ,Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,8,8,9,9,9,9,10,10,10,10,11
Supplemental Payments to UMWA Plans                             ,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,243,246,243,239,241,245,251,257,257,258,260
Abandoned mine reclamation fund,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,36,70,72,74,70,64,56,48,44,39,35
Payment Where Health Coverage Tax Credit Exceeds Liability for T,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,34,9,0,0,0,0,0,0,0,0,0
Refundable Premium Tax Credit and Cost Sharing Reductions       ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,"49,100","49,546","55,068","61,959","63,623","65,815","68,170","68,059","69,584","72,391","75,316"
Payment Where Small Business Health Insurance Tax Credit Exceeds,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,53,61,62,64,64,62,63,64,65,67,68
"Government payment for annuitants, employees health benefits",Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,"13,150","13,887","14,824","15,856","16,943","18,028","19,101","20,018","21,308","22,595","23,903"
Postal Service retiree health benefits fund                     ,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,"3,811","4,003","4,253","4,523","4,804","5,131","5,481","5,798","6,094","6,389","6,700"
Employees and retired employees health benefits funds,Discretionary,Nondefense,Office of Personnel Management                                  ,Office of Personnel Management,51,52,53,54,56,56,58,59,60,61,63
Employees and retired employees health benefits funds,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,"-1,137",-487,-323,-202,-238,-343,-348,-347,-235,-257,-329
Rate Review Grants                                              ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,26,27,0,0,0,0,0,0,0,0,0
Pre-Existing Condition Insurance Plan Program                   ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,114,119,47,0,0,0,0,0,0,0,0
Affordable Insurance Exchange Grants                            ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,7,0,0,0,0,0,0,0,0,0,0
Prevention and Public Health Fund                               ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,-9,-19,-21,-8,0,0,0,0,0,0,0
Pregnancy Assistance Fund                                       ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,22,21,8,0,0,0,0,0,0,0,0
Nonrecurring expenses fund                                      ,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,462,361,316,320,264,220,207,201,180,162,146
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Health and Human Services                         ,Office of the Inspector General,83,83,86,89,92,95,98,101,106,109,113
Office of the National Coordinator for Health Information Techno,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,68,71,65,65,67,69,71,73,75,77,79
Public health and social services emergency fund                ,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,"2,218","2,901","2,988","3,025","3,000","2,979","2,984","3,008","2,970","3,036","3,103"
HHS accrual contribution to the uniformed services retiree healt,Discretionary,Nondefense,Department of Health and Human Services                         ,Program Support Center,29,31,33,34,36,38,40,42,45,47,49
"Maternal, Infant, and Early Childhood Home Visiting Programs    ",Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,392,393,397,396,384,256,96,0,0,0,0
Contract Support Costs                                          ,Discretionary,Nondefense,Department of Health and Human Services                         ,Indian Health Service                                           ,817,837,855,872,890,909,928,947,966,986,"1,006"
Health resources and services,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,"5,587","5,775","5,925","6,047","6,114","6,171","6,302","6,436","6,569","6,707","6,850"
Primary Health Care Access                                      ,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,"4,117","2,183",839,16,0,0,0,0,0,0,0
Retirement pay and medical benefits for commissioned officers,Mandatory,Other Spending,Department of Health and Human Services                         ,Program Support Center,625,655,689,773,765,751,841,883,926,"1,033",956
Indian Health Services,Discretionary,Nondefense,Department of Health and Human Services                         ,Indian Health Service                                           ,"3,871","4,032","4,116","4,219","4,323","4,428","4,535","4,644","4,753","4,868","4,985"
Indian Health Services,Mandatory,Other Spending,Department of Health and Human Services                         ,Indian Health Service                                           ,150,85,15,0,0,0,0,0,0,0,0
Indian health facilities,Discretionary,Nondefense,Department of Health and Human Services                         ,Indian Health Service                                           ,529,529,543,556,570,584,598,612,627,642,657
Indian health facilities,Mandatory,Other Spending,Department of Health and Human Services                         ,Indian Health Service                                           ,8,8,8,8,8,8,8,8,8,8,8
Program management,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,21,21,21,22,26,33,26,21,13,10,4
Grants to States for Medicaid,Mandatory,Medicaid,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,"405,935","420,438","439,796","467,086","496,441","525,952","557,304","590,947","625,803","662,466","701,697"
Children's Health Insurance Fund                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,"17,930","16,490","14,143","14,419","15,022","15,688","16,382","17,106","17,863","18,330","19,129"
State grants and demonstrations,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,483,191,106,109,112,122,119,113,116,118,120
Center for Medicare and Medicaid Innovation                     ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,"1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
CDC-Wide Activities and Program Support                         ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,"6,088","5,711","6,150","6,324","6,512","6,679","6,841","7,005","7,170","7,341","7,516"
CDC-Wide Activities and Program Support                         ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,824,826,874,909,930,"1,007","1,099","1,303","1,483","1,695","1,813"
"Agency for Toxic Substances and Disease Registry, Toxic Substanc",Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,78,78,79,81,84,86,89,91,94,97,100
"Agency for Toxic Substances and Disease Registry, Toxic Substanc",Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,4,4,4,4,4,4,4,4,4,4,4
World Trade Center Health Program Fund                          ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,394,488,481,503,524,539,557,572,586,600,614
Buildings and Facilities                                        ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,218,126,106,57,54,32,33,33,34,34,35
Substance abuse and mental health services,Discretionary,Nondefense,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,"4,918","5,350","5,648","5,742","5,932","6,058","6,186","6,317","6,448","6,582","6,720"
Substance abuse and mental health services,Mandatory,Other Spending,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,12,12,13,14,14,14,16,19,21,26,27
Service and supply fund,Discretionary,Nondefense,Department of Health and Human Services                         ,Assistant Secretary for Health,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
Child Enrollment Contingency Fund                               ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,0,0,0,0,0,0,0,0,0,0,0
Risk Adjustment Program Payments                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,"8,290","5,461","5,433","5,604","5,807","6,057","6,343","6,634","6,924","7,224","7,523"
Transitional Reinsurance Program                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,253,0,0,0,0,0,0,0,0,0,0
Vaccine Injury Compensation Program Trust Fund                  ,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,27,27,27,30,30,30,30,31,32,33,33
Vaccine Injury Compensation Program Trust Fund                  ,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,250,253,256,260,264,268,271,275,279,283,287
General departmental management,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,425,468,489,502,515,529,542,557,571,585,600
Miscellaneous trust funds,Mandatory,Other Spending,Department of Health and Human Services                         ,Program Support Center,84,85,85,85,85,85,85,85,85,85,85
"Contributions, Indian Health, HSA",Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
Infectious Diseases Rapid Response Reserve Fund,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,19,43,49,52,53,55,56,57,59,60,62
Premiums paid to UMWA combined benefits fund,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,17,15,14,13,12,11,10,9,8,7,7
Department of Defense Medicare-Eligible retiree health care fund,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,"10,312","10,789","11,416","11,939","12,605","13,183","13,933","14,615","15,430","16,185","16,988"
United Mine Workers of America 1992 Benefit Plan,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,92,90,87,85,83,81,80,78,76,75,74
United Mine Workers of America Combined Benefit Fund            ,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,103,94,87,81,76,71,66,62,59,55,53
United Mine Workers of America 1993 Benefit Plan,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,351,356,365,374,381,385,389,391,391,389,386
Transfers to UMWA combined benefits fund,Mandatory,Offsetting receipts,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,-484,-524,-526,-527,-529,-526,-524,-522,-517,-512,-505
Transfers to UMWA combined benefits fund,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,-17,-15,-14,-13,-12,-11,-10,-9,-8,-7,-7
"Payment to the NIH Innovation Account, CURES Act                ",Mandatory,Other Spending,Department of Health and Human Services                         ,National Institutes of Health,711,492,404,496,"1,085",407,127,226,0,0,0
Health education assistance loans program account,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
Health resources and services,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,969,"1,049","1,100","1,130","1,154","1,180","1,206","1,232","1,258","1,285","1,313"
Health resources and services,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,-1,0,0,0,0,0,0,0,0,0,0
National Library of Medicine (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,418,439,454,471,484,497,510,523,537,551,566
John E. Fogarty International Center,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,76,89,80,82,84,86,88,90,92,94,96
Buildings and facilities,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,100,170,185,197,205,212,216,221,225,230,235
National Institute on Aging (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"2,670","3,120","3,275","3,233","3,287","3,360","3,435","3,510","3,586","3,663","3,744"
National Institute of Child Health and Human Development (Health researc,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"1,461","1,488","1,525","1,560","1,594","1,629","1,665","1,702","1,738","1,776","1,815"
Office of the Director (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"1,836","2,000","1,937","1,967","2,020","2,074","2,130","2,187","2,244","2,304","2,365"
National Cancer Institute (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"5,521","5,545","5,642","5,897","6,026","6,161","6,300","6,440","6,580","6,725","6,874"
National Institute of General Medical Sciences (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"2,011","1,915","1,934","1,969","1,820","1,858","1,898","1,937","1,977","2,018","2,060"
National Institute of Environmental Health Sciences (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,737,846,868,889,908,929,951,974,996,"1,019","1,043"
"National Heart, Lung and Blood Institute (Health research)",Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"3,323","3,408","3,489","3,565","3,641","3,720","3,801","3,883","3,965","4,049","4,136"
National Institute of Dental Research (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,439,454,463,475,486,497,509,521,532,544,557
National Institute of Diabetes and Digestive and Kidney Diseases (Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"1,952","1,984","1,990","2,077","2,122","2,169","2,217","2,266","2,314","2,364","2,416"
National Institute of Diabetes and Digestive and Kidney Diseases (Health,Mandatory,Other Spending,Department of Health and Human Services                         ,National Institutes of Health,140,176,90,10,5,0,0,0,0,0,0
National Institute of Allergy and Infectious Diseases (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"5,199","5,319","5,472","5,652","5,778","5,905","6,036","6,168","6,300","6,436","6,577"
National Institute of Neurological Disorders and Stroke (Health research,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"2,163","2,213","2,271","2,321","2,372","2,425","2,479","2,533","2,588","2,644","2,703"
National Eye Institute (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,760,789,807,825,843,861,880,899,918,938,958
National Institute of Arthritis and Musculoskeletal and Skin Diseases (H,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,453,552,610,625,638,652,666,681,695,710,725
National Institute for Nursing Research (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,152,160,165,168,172,175,179,183,187,191,196
National Institute on Deafness and Other Communicative Disorders (Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,455,469,480,490,501,511,523,534,545,557,568
National human genome research institute,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,555,572,585,598,610,623,636,650,663,677,691
National Institute of Mental Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"1,737","1,954","2,001","2,043","1,934","1,976","2,019","2,063","2,107","2,151","2,198"
National Institute on Drug Abuse,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,"1,281","1,370","1,429","1,463","1,495","1,527","1,560","1,594","1,628","1,662","1,698"
National Center for Complementary and Alternative Medicine,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,143,137,149,150,154,157,161,164,168,171,175
National Center on Minority Health and Health Disparities,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,295,310,320,327,334,341,348,356,364,371,379
National Institute of Biomedical Imaging and Bioengineering,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,358,377,394,405,413,422,432,441,450,460,470
NIH Alcohol,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,499,516,531,543,554,566,579,591,604,616,629
CDC-Wide Activities and Program Support                         ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,332,335,342,350,359,368,377,386,396,405,415
CDC-Wide Activities and Program Support                         ,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
Healthcare research and quality                                 ,Discretionary,Nondefense,Department of Health and Human Services                         ,Agency for Healthcare Research and Quality,323,328,335,343,352,360,369,377,386,395,404
National Institutes of Health management fund,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57
Health education assistance loans liquidating account,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Fed Fund (CRADA),Mandatory,Other Spending,Department of Health and Human Services                         ,National Institutes of Health,17,17,18,18,19,19,19,20,20,21,21
"NIH Innovation, Cures Act                                       ",Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,73,102,81,15,2,0,0,0,0,0,0
"NIH Innovation, Cures Act                                       ",Mandatory,Other Spending,Department of Health and Human Services                         ,National Institutes of Health,-711,-492,-404,-496,"-1,085",-407,-127,-226,0,0,0
National Center for Advancing Translational Sciences,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,722,774,812,831,849,867,885,903,922,941,961
National Institutes of Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,330,489,482,440,415,417,427,437,447,458,469
National Institutes of Health,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,National Institutes of Health,-68,-69,-71,-73,-74,-76,-77,-79,-81,-83,-84
Transfers from Presidential Election Campaign,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,-41,-3,0,0,-21,0,0,0,0,0,0
Cooperative research and development agreements,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Health Education Assistance Loans Liquidating Account           ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
Patient-Centered Outcomes Research Trust Fund                   ,Mandatory,Other Spending,Patient-Centered Outcomes Research Trust Fund                   ,Patient-Centered Outcomes Research Trust Fund                   ,555,0,0,0,0,0,0,0,0,0,0
